employeeTotal,employeeTotalM,sepEmp,sepEmpM,retEmpPerc,retEmpPercM,perPopEmp,perPopSepEmp,JurisdictionName,PostalAbbreviation,ProfileYear,FIPSCode,HHSRegion,Participation,REGION,GovClassification,governance,structure,size,density,regularPositionTotal,regularFTETotal,tempEmployeeTotal,tempFTETotal,positionTotal,fteTotal,positionsLHD,positionsRHD,positionsSHDCent,positionsSHDOut,workforceDevDir,vacPositions,vacPerc,perPopFTE,perPopVacPositions,attritionType,attritionYear,attritionCause,attritionValue,attritionNumerator,attritionDenominator,JurisdictionType,FYPop,turnoverRateM,turnoverRate,perPopQuarEmp,perPopQuarEmpLabel,turnoverRateQuar,turnoverRateQuarLabel,perPopQuarSepEmp,perPopQuarSepEmpLabel,retEmpPercQuar,perPopEmpN,perPopSepEmpN,turnoverRateN,retEmpPercN
,0,86,0,,1,,2.488281421,Utah,UT,2012,49,8,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,1238,1000,,,1238,1000,,,731,,Yes,25,2.019386107,35.0462172,0.87615543,Employees,2009,Separated,,86,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,0,241,0,,1,,7.743023393,Hawaii,HI,2012,15,9,Completed Profile Survey,West,Centralized,Centralized/Largely Centralized,Freestanding/independent,Less than 2 million,100.1 - 500 people per square mile,2652,2593,,,2652,2593,,,2198,,No,23.6,0.889894419,185.9042561,1.691994001,Employees,2009,Separated,,241,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,1,162,0,,1,,3.803544121,Louisiana,LA,2012,22,6,Completed Profile Survey,South,Largely Centralized,Centralized/Largely Centralized,Under an umbrella,2 million to 10 million,100.1 - 500 people per square mile,1157,1157,,,1157,1157,,,,,Yes,,,25.14686027,,Employees,2009,Separated,,162,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,0,4.8,0,,1,,1.483222472,North Dakota,ND,2012,38,8,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,Less than 2 million,Less than 20 people per square mile,339,331,,,339,331,,,332,,No,5,1.474926254,47.20640752,0.713087727,Employees,2009,Separated,,4.8,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,0,106,0,,1,,1.550859011,Pennsylvania,PA,2012,42,3,Completed Profile Survey,Middle Atlantic and Great Lakes,Mixed,Mixed,Freestanding/independent,More than 10 million,100.1 - 500 people per square mile,1255,1255,,,1255,1255,,712,543,,No,55,4.38247012,9.829939694,0.43079417,Employees,2009,Separated,,106,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,1,244,0,,1,,4.668207887,Arizona,AZ,2012,4,9,Completed Profile Survey,West,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,,1647,,,,1647,,,1640,,Yes,144,,25.12594245,2.196803712,Employees,2009,Separated,,244,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,0,825,0,,1,,31.90711102,New Mexico,NM,2012,35,6,Completed Profile Survey,South,Centralized,Centralized/Largely Centralized,Freestanding/independent,2 million to 10 million,Less than 20 people per square mile,3265,3245.5,,,3265,3245.5,,766,577,,No,368,11.27105666,155.4872805,17.63035564,Employees,2009,Separated,,825,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,52,0,,1,,7.437923332,South Dakota,SD,2012,46,8,Completed Profile Survey,Mountain/Midwest,Largely Centralized,Centralized/Largely Centralized,Freestanding/independent,Less than 2 million,Less than 20 people per square mile,462,411.2,,,462,411.2,,,176,,No,8,1.731601732,49.330227,0.959732043,Employees,2009,Separated,,52,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,1,223,0,,1,,6.769682124,Alabama,AL,2012,1,4,Completed Profile Survey,South,Largely Centralized,Centralized/Largely Centralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,,4129,,,,4129,1708,363,1026,,Yes,1,,85.74238494,0.020765896,Employees,2009,Separated,,223,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,1,208,0,,1,,4.245496288,Tennessee,TN,2012,47,4,Completed Profile Survey,South,Mixed,Mixed,Freestanding/independent,2 million to 10 million,100.1 - 500 people per square mile,3050,3046,,,3050,3046,1097,738,1211,,Yes,,,47.19628355,,Employees,2009,Separated,,208,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,1,,1,,1,,,Nevada,NV,2012,32,9,Did not complete Profile Survey,West,Largely Decentralized,Decentralized/Largely Decentralized,,2 million to 10 million,20 - 100 people per square mile,,,,,,,,,,,,,,,,Employees,2009,Separated,,,,1,,1,,,,,,,,,,,,
,1,41,0,,1,,1.335356027,Connecticut,CT,2012,9,1,Completed Profile Survey,New England,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,More than 500 people per square mile,,797.96,,,,797.96,11,,767.96,,No,35,,22.19918115,0.973697103,Employees,2009,Separated,,41,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,1,,1,,1,,,Guam,GU,2012,66,9,Completed Profile Survey,West,Island Area,Island Area,Freestanding/independent,Less than 2 million,More than 500 people per square mile,142,142,,,142,142,59,,83,,,,,85.54216868,,Employees,2009,Separated,,,,2,,1,,,,,,,,,,,,
,0,136,0,,1,,1.232342733,New Jersey,NJ,2012,34,2,Completed Profile Survey,New England,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,More than 500 people per square mile,1211,1208,,,1211,1208,,59,1149,,No,20,1.651527663,13.65752314,0.226117933,Employees,2009,Separated,,136,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,1,,1,,1,,,Montana,MT,2012,30,8,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,Less than 2 million,Less than 20 people per square mile,199,191.95,,,199,191.95,,,,,Yes,,,19.12265898,,Employees,2009,Separated,,,,1,,1,,,,,,,,,,,,
,1,110,0,,1,,1.928358439,Washington,WA,2012,53,10,Completed Profile Survey,West,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,100.1 - 500 people per square mile,,1649.76,,,,1649.76,,285,1279,,Yes,25,,23.91976405,0.362473391,Employees,2009,Separated,,110,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,0,110,0,,1,,1.082352008,Ohio,OH,2012,39,5,Completed Profile Survey,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,More than 10 million,100.1 - 500 people per square mile,1159,1145.5,,,1159,1145.5,,223,1005,,Yes,68,5.867126834,9.918673802,0.588799492,Employees,2009,Separated,,110,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,0,25,0,,1,,0.778002141,Michigan,MI,2012,26,5,Completed Profile Survey,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,2 million to 10 million,100.1 - 500 people per square mile,487,487,,,487,487,21,,487,,Yes,25,5.133470226,4.920610944,0.252598098,Employees,2009,Separated,,25,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,1,,1,,1,,,South Carolina,SC,2012,45,4,Did not complete Profile Survey,South,Centralized,Centralized/Largely Centralized,,2 million to 10 million,100.1 - 500 people per square mile,,,,,,,,,,,,,,,,Employees,2009,Separated,,,,1,,1,,,,,,,,,,,,
,0,,1,,1,,,New York,NY,2012,36,2,Completed Profile Survey,New England,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,More than 10 million,100.1 - 500 people per square mile,3306,3127,,,3306,3127,,849,2457,,Yes,150,4.537205082,15.97614502,0.766364487,Employees,2009,Separated,,,,1,,1,,,,,,,,,,,,
,0,65,0,,1,,9.035612635,Alaska,AK,2012,2,10,Completed Profile Survey,West,Mixed,Mixed,Under an umbrella,Less than 2 million,Less than 20 people per square mile,454,441,,,454,441,,164,289,1,Yes,12,2.643171806,60.37432079,1.642838661,Employees,2009,Separated,,65,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,76,0,,1,,6.388857832,Vermont,VT,2012,50,1,Completed Profile Survey,New England,Centralized,Centralized/Largely Centralized,Under an umbrella,Less than 2 million,20 - 100 people per square mile,538,445,,,538,445,,184,354,,No,24,4.460966543,71.07604338,3.833314699,Employees,2009,Separated,,76,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,1,2056,0,,1,,9.005354563,Texas,TX,2012,48,6,Completed Profile Survey,South,Largely Decentralized,Decentralized/Largely Decentralized,Under an umbrella,More than 10 million,20 - 100 people per square mile,12044,11862,,,12044,11862,,9343,2323,,No,,,45.47531538,,Employees,2009,Separated,,2056,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,316,0,,1,,4.752549761,Virginia,VA,2012,51,3,Completed Profile Survey,Middle Atlantic and Great Lakes,Largely Centralized,Centralized/Largely Centralized,Freestanding/independent,2 million to 10 million,100.1 - 500 people per square mile,4044,3750.23,,,4044,3750.23,2699,278,810,,No,52,1.285855589,45.81787838,0.635302282,Employees,2009,Separated,,316,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,1,84,0,,1,,0.659809307,Illinois,IL,2012,17,5,Completed Profile Survey,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,More than 10 million,100.1 - 500 people per square mile,,1057,,,,1057,,520,534,,No,187,,8.204922798,1.451580476,Employees,2009,Separated,,84,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,0,159,0,,1,,8.189956593,District of Columbia,DC,2012,11,3,Completed Profile Survey,Middle Atlantic and Great Lakes,Centralized,Centralized/Largely Centralized,Freestanding/independent,Less than 2 million,More than 500 people per square mile,815,798,,,815,798,,,,,No,71,8.711656442,125.6843339,11.18244073,Employees,2009,Separated,,159,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,1,30,0,,1,,3.413548564,Rhode Island,RI,2012,44,1,Completed Profile Survey,New England,Centralized,Centralized/Largely Centralized,Under an umbrella,Less than 2 million,More than 500 people per square mile,,390,,,,390,,,,,No,67,,36.98010944,6.352993161,Employees,2009,Separated,,30,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,0,,0,,1,,1.575529999,Georgia,GA,2012,13,4,Completed Profile Survey,South,Shared,Shared/Largely Shared,Freestanding/independent,2 million to 10 million,100.1 - 500 people per square mile,1009,1001,,,1009,1001,,182,739,,Yes,20,1.982160555,10.10965083,0.201991026,Employees,2009,Separated,,,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,0,,0,,1,,0.569950478,Kentucky,KY,2012,21,4,Completed Profile Survey,South,Shared,Shared/Largely Shared,Under an umbrella,2 million to 10 million,100.1 - 500 people per square mile,478,470,,,478,470,,,376,,Yes,37,7.740585774,10.71506899,0.843526708,Employees,2009,Separated,,,,1,,1,,,,,,1,1 (0.6 - 1.6),,,,,
,1,186,0,,1,,4.44860016,Missouri,MO,2012,29,7,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,,1815.85,,,,1815.85,,819,875,,No,76,,30.14175597,1.261543329,Employees,2009,Separated,,186,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,1,,1,,1,,,Commonwealth of the Northern Mariana Islands,MP,2012,69,9,Did not complete Profile Survey,West,Island Area,Island Area,,Less than 2 million,100.1 - 500 people per square mile,,,,,,,,,,,,,,,,Employees,2009,Separated,,,,2,,1,,,,,,,,,,,,
,1,,1,,1,,,Marshall Islands,MH,2012,68,9,Completed Profile Survey,West,Island Area,Island Area,Under an umbrella,Less than 2 million,More than 500 people per square mile,535,535,,,535,535,,,,,,,,1028.846154,,Employees,2009,Separated,,,,2,,1,,,,,,,,,,,,
,0,5,0,,1,,5.555555556,Republic of Palau,PW,2012,70,9,Completed Profile Survey,West,Island Area,Island Area,Under an umbrella,Less than 2 million,100.1 - 500 people per square mile,193,191.5,,,193,191.5,,,,,,5,2.590673575,1063.888889,27.77777778,Employees,2009,Separated,,5,,2,,1,,,,,,3,3 (4 - 7.4),,,,,
,0,94,0,,1,,5.995999663,Kansas,KS,2012,20,7,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,393,385.95,,,393,385.95,12,54,339,,No,9,2.290076336,13.37662468,0.311930618,Employees,2009,Separated,,94,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,0,333,0,,1,,10.80563275,Arkansas,AR,2012,5,6,Completed Profile Survey,South,Centralized,Centralized/Largely Centralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,2729,2636,,,2729,2636,1887,,700,,Yes,25,0.916086479,89.29043237,0.846836422,Employees,2009,Separated,,333,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,1216,0,,1,,16.91865727,Maryland,MD,2012,24,3,Completed Profile Survey,Middle Atlantic and Great Lakes,Largely Shared,Shared/Largely Shared,Under an umbrella,2 million to 10 million,More than 500 people per square mile,8360,8246,,,8360,8246,2367,99,2206,,I don't know,76,0.909090909,140.071534,1.29098188,Employees,2009,Separated,,1216,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,1,30,0,,1,,3.464562422,Maine,ME,2012,23,1,Completed Profile Survey,New England,Largely Centralized,Centralized/Largely Centralized,Under an umbrella,Less than 2 million,20 - 100 people per square mile,,387,,,,387,,,,,Yes,21,,29.14751429,1.581648062,Employees,2009,Separated,,30,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,1,340,0,,1,,4.53248947,Massachusetts,MA,2012,25,1,Completed Profile Survey,New England,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,More than 500 people per square mile,3063,2932.15,,,3063,2932.15,,181,,,No,,,44.00642053,,Employees,2009,Separated,,340,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,1,5,0,,1,,7.407407407,American Samoa,AS,2012,60,9,Completed Profile Survey,West,Island Area,Island Area,Freestanding/independent,Less than 2 million,More than 500 people per square mile,180,180,,,180,180,,,,,No,,,333.3333333,,Employees,2009,Separated,,5,,2,,1,,,,,,3,3 (4 - 7.4),,,,,
,0,55,0,,1,,7.21170394,Delaware,DE,2012,10,3,Completed Profile Survey,Middle Atlantic and Great Lakes,Centralized,Centralized/Largely Centralized,Under an umbrella,Less than 2 million,100.1 - 500 people per square mile,857.5,629.5,,,857.5,629.5,,,225,,Yes,55,6.413994169,68.78435803,6.009753283,Employees,2009,Separated,,55,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,1,,1,,1,,,Oregon,OR,2012,41,10,Completed Profile Survey,West,Largely Decentralized,Decentralized/Largely Decentralized,Under an umbrella,2 million to 10 million,20 - 100 people per square mile,658,633.02,,,658,633.02,,61,640,,Yes,,,16.23544082,,Employees,2009,Separated,,,,1,,1,,,,,,,,,,,,
,1,117,0,,1,,5.870086899,West Virginia,WV,2012,54,3,Completed Profile Survey,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,Less than 2 million,20 - 100 people per square mile,681,651,,,681,651,,95,556,,Yes,,,35.05895937,,Employees,2009,Separated,,117,,1,,1,,,,,,3,3 (4 - 7.4),,,,,
,0,189,0,,1,,35.74496144,Wyoming,WY,2012,56,8,Completed Profile Survey,Mountain/Midwest,Mixed,Mixed,Under an umbrella,Less than 2 million,Less than 20 people per square mile,1518,1411,,,1518,1411,103,138,498,,No,77,5.072463768,244.8356339,13.36098073,Employees,2009,Separated,,189,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,106,0,,1,,2.156720793,Indiana,IN,2012,18,5,Completed Profile Survey,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,100.1 - 500 people per square mile,797,792,,,797,792,20,196,581,,No,39,4.893350063,12.11434658,0.596539794,Employees,2009,Separated,,106,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,0,279,0,,1,,7.489236187,Oklahoma,OK,2012,40,6,Completed Profile Survey,South,Mixed,Mixed,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,2128,2029.96,,,2128,2029.96,1074,,834,,Yes,33,1.55075188,53.1568178,0.864142637,Employees,2009,Separated,,279,,1,,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,26,0,,1,,1.629762982,Idaho,ID,2012,16,10,Completed Profile Survey,West,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,Less than 2 million,Less than 20 people per square mile,225.5,213.5,,,225.5,213.5,,,213.5,,,10,4.4345898,13.38286141,0.626831916,Employees,2009,Separated,,26,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,0,72,0,,1,,1.6925059,Minnesota,MN,2012,27,5,Completed Profile Survey,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,1509,1440,,,1509,1440,,207,1302,,Yes,96,6.361829026,26.78251095,1.78550073,Employees,2009,Separated,,72,,1,,1,,,,,,2,2 (1.6 - 4),,,,,
,1,,1,,1,,,Oregon,OR,2012,41,10,Completed Profile Survey,West,Largely Decentralized,Decentralized/Largely Decentralized,Under an umbrella,2 million to 10 million,20 - 100 people per square mile,658,633.02,,,658,633.02,,61,640,,Yes,,,16.23544082,,Employees,2010,Separated,,,,1,3837491,1,,,,,,,,,,,,
,0,6.7,0,,1,,1.483222472,North Dakota,ND,2012,38,8,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,Less than 2 million,Less than 20 people per square mile,339,331,,,339,331,,,332,,No,5,1.474926254,47.20640752,0.713087727,Employees,2010,Separated,,6.7,,1,674715,1,,,,,,1,1 (0.6 - 1.6),,,,,
,0,390,0,,1,,7.489236187,Oklahoma,OK,2012,40,6,Completed Profile Survey,South,Mixed,Mixed,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,2128,2029.96,,,2128,2029.96,1074,,834,,Yes,33,1.55075188,53.1568178,0.864142637,Employees,2010,Separated,,390,,1,3759944,1,,,,,,4,4 (7.4 - 35.7),,,,,
,1,30,0,,1,,3.413548564,Rhode Island,RI,2012,44,1,Completed Profile Survey,New England,Centralized,Centralized/Largely Centralized,Under an umbrella,Less than 2 million,More than 500 people per square mile,,390,,,,390,,,,,No,67,,36.98010944,6.352993161,Employees,2010,Separated,,30,,1,1053959,1,,,,,,2,2 (1.6 - 4),,,,,
,1,,1,,1,,,Federated States of Micronesia,FM,2012,64,9,Completed Profile Survey,West,Island Area,Island Area,Freestanding/independent,Less than 2 million,100.1 - 500 people per square mile,,,,,,,,,,,,,,,,Employees,2010,Separated,,,,2,108000,1,,,,,,,,,,,,
,0,25,0,,1,,2.212266424,Nebraska,NE,2012,31,7,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Under an umbrella,Less than 2 million,20 - 100 people per square mile,464,462.15,,,464,462.15,,,,,No,18,3.879310345,24.93655921,0.971238918,Employees,2010,Separated,,25,,1,1829542,1,,,,,,2,2 (1.6 - 4),,,,,
,0,2,0,,1,,5.555555556,Republic of Palau,PW,2012,70,9,Completed Profile Survey,West,Island Area,Island Area,Under an umbrella,Less than 2 million,100.1 - 500 people per square mile,193,191.5,,,193,191.5,,,,,,5,2.590673575,1063.888889,27.77777778,Employees,2010,Separated,,2,,2,19000,1,,,,,,3,3 (4 - 7.4),,,,,
,0,232,0,,1,,8.981787081,Mississippi,MS,2012,28,4,Completed Profile Survey,South,Centralized,Centralized/Largely Centralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,2349,2338,,,2349,2338,1149,250,950,,Yes,118,5.023414219,78.35603804,3.954667446,Employees,2010,Separated,,232,,1,2970548,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,190,0,,1,,35.74496144,Wyoming,WY,2012,56,8,Completed Profile Survey,Mountain/Midwest,Mixed,Mixed,Under an umbrella,Less than 2 million,Less than 20 people per square mile,1518,1411,,,1518,1411,103,138,498,,No,77,5.072463768,244.8356339,13.36098073,Employees,2010,Separated,,190,,1,564487,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,70,0,,1,,2.488281421,Utah,UT,2012,49,8,Completed Profile Survey,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,20 - 100 people per square mile,1238,1000,,,1238,1000,,,731,,Yes,25,2.019386107,35.0462172,0.87615543,Employees,2010,Separated,,70,,1,2775332,1,,,,,,2,2 (1.6 - 4),,,,,
,0,81,0,,1,,1.232342733,New Jersey,NJ,2012,34,2,Completed Profile Survey,New England,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,2 million to 10 million,More than 500 people per square mile,1211,1208,,,1211,1208,,59,1149,,No,20,1.651527663,13.65752314,0.226117933,Employees,2010,Separated,,81,,1,8799446,1,,,,,,1,1 (0.6 - 1.6),,,,,
,1,8,0,,1,,7.407407407,American Samoa,AS,2012,60,9,Completed Profile Survey,West,Island Area,Island Area,Freestanding/independent,Less than 2 million,More than 500 people per square mile,180,180,,,180,180,,,,,No,,,333.3333333,,Employees,2010,Separated,,8,,2,55000,1,,,,,,3,3 (4 - 7.4),,,,,
,0,788,0,,1,,31.90711102,New Mexico,NM,2012,35,6,Completed Profile Survey,South,Centralized,Centralized/Largely Centralized,Freestanding/independent,2 million to 10 million,Less than 20 people per square mile,3265,3245.5,,,3265,3245.5,,766,577,,No,368,11.27105666,155.4872805,17.63035564,Employees,2010,Separated,,788,,1,2064552,1,,,,,,4,4 (7.4 - 35.7),,,,,
,1,134,0,,1,,0.659809307,Illinois,IL,2012,17,5,Completed Profile Survey,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Freestanding/independent,More than 10 million,100.1 - 500 people per square mile,,1057,,,,1057,,520,534,,No,187,,8.204922798,1.451580476,Employees,2010,Separated,,134,,1,12840503,1,,,,,,1,1 (0.6 - 1.6),,,,,
,1,2154,0,,1,,9.005354563,Texas,TX,2012,48,6,Completed Profile Survey,South,Largely Decentralized,Decentralized/Largely Decentralized,Under an umbrella,More than 10 million,20 - 100 people per square mile,12044,11862,,,12044,11862,,9343,2323,,No,,,45.47531538,,Employees,2010,Separated,,2154,,1,25241971,1,,,,,,4,4 (7.4 - 35.7),,,,,
,0,74,0,,1,,9.035612635,Alaska,AK,2012,2,10,Completed Profile Survey,West,Mixed,Mixed,Under an umbrella,Less than 2 million,Less than 20 people per square mile,454,441,,,454,441,,164,289,1,Yes,12,2.643171806,60.37432079,1.642838661,Employees,2010,Separated,,74,,1,713910,1,,,,,,4,4 (7.4 - 35.7),,,,,
